Taxon	Value	Name	UniRuleId
NA	IPR002589,IPR022202,IPR043472	RNA-directed RNA polymerase	ARBA00012494
NA	IPR048006	RNA-directed RNA polymerase	ARBA00012494
NA	IPR007100,IPR046752,IPR046812	RNA-directed RNA polymerase	ARBA00012494
2497577	IPR001407	RNA-directed RNA polymerase	ARBA00012494
2732464	IPR043647	RNA-directed RNA polymerase	ARBA00012494
2732407	IPR005093	RNA-directed RNA polymerase	ARBA00012494
NA	IPR007096	RNA-directed RNA polymerase	ARBA00012494
10239	3.40.50.150:FF:000473	RNA-directed RNA polymerase	ARBA00012494
2559587	3.40.50.300:FF:001668	RNA-directed RNA polymerase	ARBA00012494
7711	1.10.132.30:FF:000001,1.10.150.390:FF:000001	RNA-directed RNA polymerase	ARBA00012494
NA	2.40.270.10:FF:000026,2.40.50.150:FF:000002,3.90.1070.20:FF:000001	RNA-directed RNA polymerase	ARBA00012494
2732396	3.40.91.60:FF:000001	RNA-directed RNA polymerase	ARBA00012494
2497569	3.90.70.80:FF:000035	RNA-directed RNA polymerase	ARBA00012494
NA	IPR008984,IPR011146,IPR019808	DNA-3'-diphospho-5'-guanosine diphosphatase	ARBA00012495
7711	3.30.428.10:FF:000004	DNA-3'-diphospho-5'-guanosine diphosphatase	ARBA00012495
4751	3.30.428.10:FF:000017	DNA-3'-diphospho-5'-guanosine diphosphatase	ARBA00012495
NA	IPR008984,IPR011146,IPR019808	adenosine-5'-diphospho-5'-[DNA] diphosphatase	ARBA00012496
7711	3.30.428.10:FF:000004	adenosine-5'-diphospho-5'-[DNA] diphosphatase	ARBA00012496
4751	3.30.428.10:FF:000017	adenosine-5'-diphospho-5'-[DNA] diphosphatase	ARBA00012496
NA	IPR000326,IPR036938,PTHR10165:SF26	2-lysophosphatidate phosphatase	ARBA00012497
2759	1.20.144.10:FF:000007	2-lysophosphatidate phosphatase	ARBA00012497
7711	IPR002579,IPR011057	L-methionine (R)-S-oxide reductase	ARBA00012498
2759	2.170.150.20:FF:000008	L-methionine (R)-S-oxide reductase	ARBA00012498
33208	2.170.150.20:FF:000006	L-methionine (R)-S-oxide reductase	ARBA00012498
7711	2.170.150.20:FF:000004	L-methionine (R)-S-oxide reductase	ARBA00012498
2	IPR002579,IPR011057	peptide-methionine (R)-S-oxide reductase	ARBA00012499
NA	PTHR10173:SF52	peptide-methionine (R)-S-oxide reductase	ARBA00012499
2759	IPR052150,PTHR46755:SF5	peptide-methionine (R)-S-oxide reductase	ARBA00012499
2	2.170.150.20:FF:000003	peptide-methionine (R)-S-oxide reductase	ARBA00012499
2759	2.170.150.20:FF:000008	peptide-methionine (R)-S-oxide reductase	ARBA00012499
NA	2.170.150.20:FF:000001	peptide-methionine (R)-S-oxide reductase	ARBA00012499
33090	2.170.150.20:FF:000009	peptide-methionine (R)-S-oxide reductase	ARBA00012499
33208	2.170.150.20:FF:000004	peptide-methionine (R)-S-oxide reductase	ARBA00012499
7711	2.170.150.20:FF:000006	peptide-methionine (R)-S-oxide reductase	ARBA00012499
NA	IPR006656,IPR027467,IPR037943	nitrate reductase (quinone)	ARBA00012500
2	3.40.50.12440:FF:000001	nitrate reductase (quinone)	ARBA00012500
NA	1.10.3650.10:FF:000001,3.30.70.20:FF:000008,3.30.70.20:FF:000010	nitrate reductase (quinone)	ARBA00012500
3379134	1.20.950.20:FF:000001	nitrate reductase (quinone)	ARBA00012500
NA	IPR002569,IPR036509	peptide-methionine (S)-S-oxide reductase	ARBA00012502
2	2.170.150.20:FF:000003,3.30.1060.10:FF:000007	peptide-methionine (S)-S-oxide reductase	ARBA00012502
NA	3.30.1060.10:FF:000001	peptide-methionine (S)-S-oxide reductase	ARBA00012502
2759	3.30.1060.10:FF:000002	peptide-methionine (S)-S-oxide reductase	ARBA00012502
NA	3.30.1060.10:FF:000003	peptide-methionine (S)-S-oxide reductase	ARBA00012502
NA	3.30.1060.10:FF:000004	peptide-methionine (S)-S-oxide reductase	ARBA00012502
1224	3.30.1060.10:FF:000005	peptide-methionine (S)-S-oxide reductase	ARBA00012502
4751	3.30.1060.10:FF:000006	peptide-methionine (S)-S-oxide reductase	ARBA00012502
33090	IPR001753,IPR006108	3-hydroxybutyryl-CoA epimerase	ARBA00012503
NA	1.10.1040.50:FF:000004,3.40.50.720:FF:000009,3.90.226.10:FF:000025	3-hydroxybutyryl-CoA epimerase	ARBA00012503
NA	IPR000462,IPR029044,IPR043130	1L-myo-inositol 1-phosphate cytidylyltransferase	ARBA00012504
NA	1.20.120.1760:FF:000042,3.90.550.10:FF:000282	1L-myo-inositol 1-phosphate cytidylyltransferase	ARBA00012504
33208	IPR000572,IPR001199	sulfite oxidase	ARBA00012505
2759	3.10.120.10:FF:000007,3.90.420.10:FF:000002	sulfite oxidase	ARBA00012505
NA	2.60.40.650:FF:000002	sulfite oxidase	ARBA00012505
NA	IPR004617,IPR004843,IPR029052	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	ARBA00012506
NA	IPR003607,IPR005249,IPR006674	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	ARBA00012506
2	3.60.21.10:FF:000013	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	ARBA00012506
2759	IPR026506,PTHR20884:SF8	GDP-D-glucose phosphorylase	ARBA00012507
33208	IPR000326,IPR039667	dolichyldiphosphatase	ARBA00012508
2759	1.20.144.10:FF:000003	dolichyldiphosphatase	ARBA00012508
2759	IPR001453,IPR005110	molybdopterin adenylyltransferase	ARBA00012509
3379134	IPR008284,IPR051920	molybdopterin adenylyltransferase	ARBA00012509
2	3.40.980.10:FF:000005	molybdopterin adenylyltransferase	ARBA00012509
2759	2.170.190.11:FF:000001,3.40.980.10:FF:000002	molybdopterin adenylyltransferase	ARBA00012509
NA	2.40.340.10:FF:000007	molybdopterin adenylyltransferase	ARBA00012509
NA	3.40.980.10:FF:000009	molybdopterin adenylyltransferase	ARBA00012509
NA	IPR008826,IPR015943,PTHR23300:SF0	methanethiol oxidase	ARBA00012510
NA	IPR007537,IPR024956,IPR025845	tRNAHis guanylyltransferase	ARBA00012511
2759	3.30.70.3000:FF:000001	tRNAHis guanylyltransferase	ARBA00012511
NA	3.30.70.3000:FF:000003	tRNAHis guanylyltransferase	ARBA00012511
33090	3.30.70.3000:FF:000002	tRNAHis guanylyltransferase	ARBA00012511
NA	IPR017905,IPR036774	thiol oxidase	ARBA00012512
NA	1.20.120.1960:FF:000001,1.20.120.310:FF:000001,3.40.30.10:FF:000073	thiol oxidase	ARBA00012512
NA	1.20.120.310:FF:000003	thiol oxidase	ARBA00012512
33090	1.20.120.310:FF:000004,3.40.30.10:FF:000244	thiol oxidase	ARBA00012512
10239	1.20.120.310:FF:000009	thiol oxidase	ARBA00012512
NA	1.20.120.310:FF:000002	thiol oxidase	ARBA00012512
NA	IPR000719,IPR008271,IPR050235	non-specific serine/threonine protein kinase	ARBA00012513
7711	IPR011009,PTHR24346	non-specific serine/threonine protein kinase	ARBA00012513
2759	IPR017441,IPR050629	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR050236	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR004041,IPR018451,PTHR43895	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR000403,IPR003152,IPR018936	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR000095,IPR033923,IPR036936	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR000961,IPR050839	non-specific serine/threonine protein kinase	ARBA00012513
1783272	PTHR43289,PTHR43289:SF6	non-specific serine/threonine protein kinase	ARBA00012513
91836	IPR011992,IPR050205	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR24343	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR022708,IPR045269,IPR048941	non-specific serine/threonine protein kinase	ARBA00012513
4751	PTHR24348:SF22	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001772,IPR028375	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR45637	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR018934	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001849,IPR011993,IPR017892	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR014009,IPR036940,IPR057564	non-specific serine/threonine protein kinase	ARBA00012513
33208	IPR051931	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR024678	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR12209,PTHR12209:SF0	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR051681,PTHR44329:SF285	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR016239,PTHR24351	non-specific serine/threonine protein kinase	ARBA00012513
33090	IPR050588	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR051131	non-specific serine/threonine protein kinase	ARBA00012513
115366	IPR030616	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR051138	non-specific serine/threonine protein kinase	ARBA00012513
35493	IPR039192,IPR050591	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR051234	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR051334	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001245,IPR032675,IPR055414	non-specific serine/threonine protein kinase	ARBA00012513
4890	IPR008266	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR003533,IPR036572,PTHR24347	non-specific serine/threonine protein kinase	ARBA00012513
3193	IPR047117	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR056802	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR003116,IPR020454,IPR029071	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR24363,PTHR24363:SF0	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001611,IPR020859,IPR032171	non-specific serine/threonine protein kinase	ARBA00012513
2	IPR005543,PTHR43289:SF34	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR045216,PTHR24054:SF0	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR015008	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR027442	non-specific serine/threonine protein kinase	ARBA00012513
117571	IPR022165,IPR051585	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001478,IPR001781,IPR050940	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR010513,IPR011047,IPR015943	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR049020	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001480,IPR024171,IPR051343	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001576,IPR015824,PTHR11406:SF14	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001180,IPR051700	non-specific serine/threonine protein kinase	ARBA00012513
58023	IPR045381	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR050339,PTHR11042:SF160	non-specific serine/threonine protein kinase	ARBA00012513
147537	PTHR24346:SF110	non-specific serine/threonine protein kinase	ARBA00012513
58024	IPR021720,IPR051824	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR024435,IPR036621,IPR041715	non-specific serine/threonine protein kinase	ARBA00012513
10239	IPR008790	non-specific serine/threonine protein kinase	ARBA00012513
38820	IPR036426	non-specific serine/threonine protein kinase	ARBA00012513
554915	PTHR46485:SF5	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR034670	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR24346:SF107	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR44329:SF22	non-specific serine/threonine protein kinase	ARBA00012513
418101	IPR002048,IPR018247	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR006575,IPR016135,IPR045864	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR024604,PTHR24419,PTHR24419:SF18	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR036322,IPR045162,IPR055231	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR22983,PTHR22983:SF6	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR24054:SF16	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR24346:SF94	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR43895:SF32	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR000219,IPR001251,IPR003598	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR000408,IPR009091,IPR051997	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR000742,IPR000858,IPR003609	non-specific serine/threonine protein kinase	ARBA00012513
3398	IPR013210,PTHR45974	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR024104,IPR024236,PTHR22961:SF16	non-specific serine/threonine protein kinase	ARBA00012513
71240	IPR025287,IPR032872	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR044092,IPR050494,PTHR24058:SF103	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR003591,IPR051420	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR031559,IPR039414	non-specific serine/threonine protein kinase	ARBA00012513
2731341	IPR050660	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR051511,PTHR22972:SF7	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR44167,PTHR44167:SF23	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR016238	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR048622	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR054521	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR11042:SF183	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR001220,IPR019825,IPR050528	non-specific serine/threonine protein kinase	ARBA00012513
91827	IPR021820,PTHR27002:SF506	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR013896,IPR032270	non-specific serine/threonine protein kinase	ARBA00012513
4447	IPR051716	non-specific serine/threonine protein kinase	ARBA00012513
1437201	IPR052232	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR052239,PTHR45998:SF2	non-specific serine/threonine protein kinase	ARBA00012513
2605435	PTHR13954:SF12	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR22967,PTHR22967:SF57	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR27000,PTHR27000:SF800	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR11042:SF58	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR43671:SF13	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR44329:SF240	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR48006:SF102	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR000048,IPR001609,IPR052409	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR000253,IPR008984,PTHR44167:SF24	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR004166,IPR005821,IPR032415	non-specific serine/threonine protein kinase	ARBA00012513
204428	IPR005532,IPR016187	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR007330,IPR035053,IPR036181	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR010624,IPR014774,IPR030665	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR036179,PTHR47091	non-specific serine/threonine protein kinase	ARBA00012513
142796	IPR045270	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR053235,PTHR24361:SF433	non-specific serine/threonine protein kinase	ARBA00012513
9989	PTHR24359	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR47460,PTHR47460:SF1	non-specific serine/threonine protein kinase	ARBA00012513
NA	IPR031850	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR24348:SF65	non-specific serine/threonine protein kinase	ARBA00012513
NA	PTHR43671:SF98	non-specific serine/threonine protein kinase	ARBA00012513
33208	3.30.200.20:FF:000003	non-specific serine/threonine protein kinase	ARBA00012513
2759	3.30.200.20:FF:000004	non-specific serine/threonine protein kinase	ARBA00012513
2	1.10.510.10:FF:000021	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000538	non-specific serine/threonine protein kinase	ARBA00012513
33090	1.10.238.10:FF:000015	non-specific serine/threonine protein kinase	ARBA00012513
1783272	3.30.200.20:FF:000035	non-specific serine/threonine protein kinase	ARBA00012513
7711	3.30.200.20:FF:000042	non-specific serine/threonine protein kinase	ARBA00012513
35493	3.30.310.80:FF:000005	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000011	non-specific serine/threonine protein kinase	ARBA00012513
4751	1.10.510.10:FF:000817	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000235	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000059,3.30.200.20:FF:000088	non-specific serine/threonine protein kinase	ARBA00012513
3193	3.30.200.20:FF:000228	non-specific serine/threonine protein kinase	ARBA00012513
4447	3.30.200.20:FF:000096	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000086	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000024	non-specific serine/threonine protein kinase	ARBA00012513
58023	1.10.510.10:FF:000108	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000316	non-specific serine/threonine protein kinase	ARBA00012513
58024	1.10.510.10:FF:000046	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000075,4.10.170.10:FF:000002	non-specific serine/threonine protein kinase	ARBA00012513
38820	1.10.510.10:FF:000279	non-specific serine/threonine protein kinase	ARBA00012513
115366	1.10.510.10:FF:000065,3.30.200.20:FF:000030	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000653	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000075	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000045	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000016,3.30.200.20:FF:000015	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000033	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000077	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.238.10:FF:000050,1.10.510.10:FF:000067	non-specific serine/threonine protein kinase	ARBA00012513
117571	3.30.200.20:FF:000018	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000029	non-specific serine/threonine protein kinase	ARBA00012513
71240	1.10.510.10:FF:000082,3.30.200.20:FF:000009	non-specific serine/threonine protein kinase	ARBA00012513
91827	1.10.510.10:FF:000060	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000085	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.8.10:FF:000005	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000060	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000010,3.30.200.20:FF:000013	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000029	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.310.80:FF:000002	non-specific serine/threonine protein kinase	ARBA00012513
2698737	3.30.200.20:FF:000315	non-specific serine/threonine protein kinase	ARBA00012513
451864	3.30.200.20:FF:000399	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000006	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000490	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000081,3.30.200.20:FF:000120	non-specific serine/threonine protein kinase	ARBA00012513
1437201	3.30.200.20:FF:000101	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000014	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.20.120.150:FF:000001	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000059	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000150	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000192	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000686	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000047,3.30.200.20:FF:000072	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000119,3.30.200.20:FF:000093	non-specific serine/threonine protein kinase	ARBA00012513
40674	1.20.5.730:FF:000001	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000079	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000038	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000108	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000154	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000156	non-specific serine/threonine protein kinase	ARBA00012513
71275	1.10.510.10:FF:001294,1.10.510.10:FF:001864	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000209,3.30.200.20:FF:000232	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000028	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000120	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000201	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000163	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000292	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000012,1.20.1480.20:FF:000001,2.30.42.10:FF:000008	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000073,3.30.200.20:FF:000141,3.90.810.10:FF:000002	non-specific serine/threonine protein kinase	ARBA00012513
314146	1.10.510.10:FF:000031	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000068,3.30.200.20:FF:000114	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000278,3.30.200.20:FF:000277	non-specific serine/threonine protein kinase	ARBA00012513
91836	3.30.200.20:FF:000212	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000020	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000411	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000048	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000112	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000236	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.90.810.10:FF:000005	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000003,3.30.200.20:FF:000006	non-specific serine/threonine protein kinase	ARBA00012513
4890	1.10.510.10:FF:000008	non-specific serine/threonine protein kinase	ARBA00012513
3699	1.10.510.10:FF:000044	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000066,3.30.200.20:FF:000057	non-specific serine/threonine protein kinase	ARBA00012513
3700	1.10.510.10:FF:000173	non-specific serine/threonine protein kinase	ARBA00012513
1206794	3.10.20.230:FF:000017	non-specific serine/threonine protein kinase	ARBA00012513
980083	3.30.200.20:FF:000330	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000092	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000109	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000164	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000251	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000476	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000592	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000866	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000118	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000165	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000191	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000229	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.310.80:FF:000006	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000152,1.20.58.60:FF:000015,1.20.58.60:FF:000023	non-specific serine/threonine protein kinase	ARBA00012513
147538	1.10.510.10:FF:000845,3.30.200.20:FF:000603	non-specific serine/threonine protein kinase	ARBA00012513
3701	2.60.120.200:FF:000096,3.30.200.20:FF:000451	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000250,3.30.200.20:FF:000110	non-specific serine/threonine protein kinase	ARBA00012513
147537	1.10.510.10:FF:000745	non-specific serine/threonine protein kinase	ARBA00012513
NA	2.60.120.430:FF:000004,3.30.200.20:FF:000217	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000037	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000072	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000078	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000239	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000269	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000309	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000358	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000499	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000534	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000052	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000071	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000201	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.80.10.10:FF:000288	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000290,3.30.200.20:FF:000288,3.80.10.10:FF:000077	non-specific serine/threonine protein kinase	ARBA00012513
554915	1.10.510.10:FF:000571	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000315	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000391	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000401	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000453	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.20.1440.180:FF:000002	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.1010.10:FF:000013	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.1010.10:FF:000032	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000109	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000148	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000160	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000175	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000195	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000260	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000275	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.30.200.20:FF:000357	non-specific serine/threonine protein kinase	ARBA00012513
NA	3.40.50.800:FF:000009	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000198,3.80.10.10:FF:000129,3.80.10.10:FF:000190	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000241,1.20.58.80:FF:000008,1.20.58.80:FF:000010	non-specific serine/threonine protein kinase	ARBA00012513
NA	1.10.510.10:FF:000265,3.30.200.20:FF:000133,3.30.450.20:FF:000002	non-specific serine/threonine protein kinase	ARBA00012513
